,id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,weightkg,weightstd,W,CP,Pmax,CP WPK,W WPK,Pmax WPK
635,e181821a-1314-40d3-bd85-4aa9417e94ac,0,M,89,89,0,0,0,1077.0,930.73333,397.51667000000003,360.32222,332.66667,315.57292,307.83333,298.8225,276.875,6.00526,4.377190000000001,4.05044,3.85322,3.53796,79.15730337078651,2.416321755763266,12819.289502455009,287.944244386252,1077.0,3.6376206884849442,161.9470213936829,13.605819730305182
636,3ca34ae7-17f4-4973-a6a3-bcf694e6307f,0,M,918,562,1,2,353,1360.0,1023.40487,518.65,457.35555999999997,427.49667,368.11146,361.81917000000004,347.325,323.39389,10.01498,6.1956,5.24376,5.0337,4.68687,69.00217864923748,0.06600983619844496,20907.516991816723,328.9711120458265,1360.0,4.767546742518134,302.9979255886548,19.709522606718867
637,abd1f34d-16b2-4781-9310-0d0d1d11ce60,29,M,426,410,1,0,15,1527.0,1233.53333,546.14167,518.12778,464.34667,427.92708,429.61832999999996,388.2,370.89277999999996,10.70026,7.37058,6.8193399999999995,6.1619,5.88719,63.08450704225352,0.5759038859329245,31500.43774468082,364.3403438297873,1527.0,5.77543300109732,499.33714665602554,24.205626255860683
638,b9504a62-6683-4e6c-a2fb-9649777091c4,30,M,75,38,18,0,19,1198.0,903.73333,355.025,344.3,309.17332999999996,304.38125,298.52667,270.95167000000004,246.80556,5.8382,3.4738599999999997,3.3542300000000003,3.0444,2.7731,89.0,0.0,20571.797607201326,256.11699819967265,1198.0,2.8777190808951985,231.14379333934073,13.460674157303371
639,9c4ae4d6-b6f2-413b-8907-39c90d5ad254,28,F,376,118,95,118,45,536.0,394.0,225.21667000000002,223.17222,203.5,202.37813,200.3,188.65667,161.24333000000001,4.55088,3.57018,3.51404,3.30977,2.82883,57.00505319148936,0.06928970940758251,9080.394304418995,181.93452389525368,536.0,3.191550813646391,159.29104168917192,9.402675201433244
640,a9d1148c-711b-438f-b188-2b55b2ae3dcc,42,M,586,520,0,0,66,946.0,730.46667,410.44167000000004,375.37222,357.94,335.975,330.89,313.67,304.19777999999997,7.41602,5.54946,5.13008,4.8631,4.71624,64.5,0.0,15229.237021276582,301.97400468085107,946.0,4.681767514431799,236.1122018802571,14.666666666666666
642,c61d6d26-2780-4b02-abc6-00230d37b0b6,55,M,375,370,0,0,5,1218.0,874.6,342.7,312.65556000000004,259.03667,248.67292,243.69167000000002,226.72875,204.78972,6.01353,3.5757800000000004,3.36396,3.1298,2.83258,72.28065333333333,1.1158572002122842,18330.08114238952,211.63015440261864,1218.0,2.927894874257067,253.59595267986217,16.850982162308437
643,639fcff2-69a2-4c39-af7d-efe2ac06a2ee,32,M,10,10,0,0,0,1076.0,800.06667,375.6,371.25556,350.74,317.41667,314.34333,303.8825,259.93056,7.646439999999999,4.6765300000000005,4.1912400000000005,4.051769999999999,3.4657400000000003,75.0,0.0,13210.974510638305,292.5232123404255,1076.0,3.9003094978723403,176.14632680851074,14.346666666666666
644,7ad25200-694b-49f3-a978-1ac9d8f4b22f,29,M,305,260,20,2,23,678.0,471.06667000000004,297.39167000000003,272.44444,261.95667000000003,250.425,241.15667000000002,215.99832999999998,206.78667,5.60722,4.36594,4.01928,3.59997,3.44644,60.00107475409835,0.0187697733988088,18136.165227495905,203.4924131260229,678.0,3.3914794686594085,302.26400613360886,11.299797591603799
645,a070416d-f1ab-4692-b6d8-72def808bfd7,42,F,468,418,0,0,50,954.0,629.06667,357.53333,329.84443999999996,299.69,271.26457999999997,276.78333,255.17,252.45722,5.82055,4.10534,3.79155,3.49548,3.4583199999999996,73.0,0.0,16456.8509361702,242.28682595744684,954.0,3.318997615855436,225.43631419411236,13.068493150684931
