id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,
81a614da-bb0c-41c9-9e73-502d9ba1e6c2,43,M,448,13,391,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c78b4183-022e-4efa-9300-85e7c5499c85,52,F,687,383,47,6,251,2000.0,679.06667,294.23333,275.87222,256.95,256.07917,245.13333,232.90667,230.27889,6.06644,3.56875,3.40463,3.23481,3.19832,
b6cdbac2-7e02-44a5-a72f-12cb9f64ac61,25,M,396,216,27,0,153,1190.0,786.06667,402.575,348.53333,309.86333,288.70208,284.34833,272.96167,244.85944,8.13474,4.36427,4.00491,3.84453,3.44872,
b413bada-8941-4ab7-a314-28dd4f5f123b,54,M,544,542,0,0,2,1163.7,956.6926,446.23208,368.6188,320.54283,297.16427,287.00064,268.875,259.31444,7.23404,4.71117,4.21819,3.95179,3.81127,
a33f8ce1-d8af-45b8-85f3-d4e3d8aea31c,18,M,364,360,0,0,4,2822.0,972.66667,485.26667,411.52222,369.11,368.09583,342.34333,318.20583,300.27722,8.32928,4.98797,4.62626,4.30008,4.0578,
2f5cf98b-88c9-48ef-a5d5-fcc5c8186fd1,-36,M,1413,1376,0,0,37,782.0,666.06667,368.92917,339.51111,325.49,294.92917,287.02333,284.21333,282.26833,74.31054,62.37397,53.71972,41.1506,37.58499,
ba407348-2485-4d61-9994-1ea549730b7b,23,M,225,223,0,0,2,1260.0,996.13333,515.24167,452.48333,426.47667,399.2875,387.98,359.45583,355.62056,8.68487,6.56118,5.96892,5.53009,5.47109,
1c9d5b29-4cfe-4294-a2e8-8f4f23a25149,46,M,838,417,340,3,78,2088.0,995.93333,459.11667,434.00556,407.11,357.89375,346.415,333.29,330.15056,7.81535,5.25114,4.54918,4.41072,4.31623,
689ccc92-6bc8-4a7b-a4ae-1b09748e6687,50,M,98,72,0,0,26,719.0,379.73333,280.91667,270.44444,251.25667,230.70625,219.46167,210.67583,204.38056,3.81422,3.35009,2.92616,2.80901,2.72507,
da838319-b0b5-4f06-a4fd-834325faeed0,36,M,1588,1556,0,0,32,2002.0,2416.07407,510.85,469.87222,436.50667,409.17292,395.20333,2666.99505,2615.08057,9.12095,6.23224,5.60576,38.09993,37.35829,
fa451263-f0a7-4bb2-82af-37e46972158c,34,M,751,728,0,0,23,2689.0,1699.86667,1268.31667,934.97778,649.54333,501.81667,454.43667,322.7075,312.10722,27.58714,8.22987,5.75782,4.0724,3.93863,
29a268ce-6a3b-456a-923a-6bc0a77616a7,59,M,892,891,0,0,1,2305.0,727.93333,367.54167,348.85833,310.77667,285.10625,280.57333,271.94167,266.76778,5.4173,3.93388,3.55156,3.4423,3.37681,
6dce59a3-ae52-48ab-afa4-a0d853682e67,59,M,200,200,0,0,0,823.0,733.73333,369.89167,328.57222,297.39333,288.26042,282.13333,271.51667,254.65972,5.60364,3.91193,3.7112,3.57155,3.34981,
336a6782-a80f-486c-bc6e-f3fa2478c8a2,43,M,23,15,1,0,7,623.0,549.8,341.55833,338.88333,331.24667,322.13125,318.89833,313.52667,309.26944,3.80263,3.48681,3.35682,3.30028,3.25547,
6eb2f3a4-b15c-42ae-9569-83332ccfb7a0,-59,M,900,43,0,0,857,2064.0,931.66667,427.35,353.26111,304.95667,292.9375,278.55833,274.79333,254.89056,7.97228,4.02855,3.64844,3.59913,3.35603,
be5b3a14-ab73-46b6-b956-649a47b9a404,45,M,396,372,20,0,4,2353.0,996.06929,400.875,374.23889,347.02333,299.1875,277.33333,262.0175,250.05056,6.36386,4.08263,3.30741,3.15684,3.01266,
fd4bd83b-369f-4841-b71b-1899e0e3baad,-52,M,1913,1605,215,46,47,884.0,654.26667,421.16667,397.34444,332.52667,306.8625,299.70667,294.385,247.85778,5.01486,3.72974,3.43142,3.37049,2.75731,
5637f701-4dc5-42e0-9a37-eef8d895a7ed,48,M,383,377,0,0,6,1467.0,980.66667,430.56667,404.78889,365.91667,351.84375,345.86167,313.305,296.69778,7.95539,5.38113,5.0862,4.60743,4.3632,
00b08a80-d090-4b05-9d7b-3d8f95c7159b,40,M,1584,741,608,213,22,763.0,579.0,319.85,302.46667,274.76667,263.88125,259.18667,241.34333,238.00833,4.56562,3.43458,3.23983,3.01679,2.9751,
12a9a5f7-9f71-4ffd-ba92-c9455e8d0b42,-50,M,939,867,65,0,7,851.0,703.6,415.32333,374.14056,336.34,303.44167,300.63167,279.45083,252.62556,8.11757,5.50475,4.92032,4.57366,4.13462,
7f5d6238-e93a-4f1d-be45-e15521000bc9,26,M,225,47,132,43,3,612.0,526.53333,295.32083,280.25278,267.395,253.28646,240.1375,226.265,220.67111,5.30104,3.78211,3.39657,3.20035,3.12123,
ac020c34-4f25-4684-83e8-edd9fc9a21f0,57,M,746,746,0,0,0,1339.0,858.66667,409.78333,385.13333,361.26667,339.7375,332.91167,301.00833,275.56,6.17434,4.75351,4.38042,3.96064,3.62579,
8426e48a-effc-486c-89c9-1fbf9c9fc731,55,M,836,676,19,0,141,978.0,796.33333,374.40833,346.0,312.96,288.19375,284.18167,275.0425,270.10944,7.21903,4.59858,4.17914,3.98793,3.91463,
5eaa03b3-a310-4ff4-bdaf-e3c29cd57a6e,30,M,277,119,63,95,0,1000.0,997.8042,581.6263,501.67789,395.39884,401.8831,389.66707,330.71932,315.8971,10.50025,5.90148,5.81593,4.93611,4.71488,
24d2885a-693f-43ac-ace1-3f3522156bf5,38,M,329,318,4,1,6,2914.0,875.13333,393.775,353.01111,326.38333,300.96042,286.37,256.56917,248.26778,7.43745,4.48878,3.93848,3.52862,3.41445,
12142f2a-7970-4a96-8ab8-866977b60763,15,M,123,123,0,0,0,1131.0,862.26667,364.79167,319.71667,274.87,260.14792,256.26167,235.1025,217.94,6.38405,3.92671,3.66088,3.35861,3.11343,
d127ab04-6539-4d0e-b9bf-5bd242e0d36b,46,M,4081,539,730,122,2690,704.0,606.43333,378.05,355.23889,311.85333,306.0,306.0,306.0,305.83,5.37711,4.15804,4.08,4.08,4.07773,
caaad867-cd2c-4918-842b-d6b8599c73cf,64,M,1373,1185,0,0,188,1012.0,1000.0,324.14838,296.86876,266.42883,250.06559,242.77906,212.37834,201.90013,7.30348,3.91583,3.56824,3.12143,2.96742,
5fe9c93a-fbf8-4aac-ba42-a76538587ab7,-60,M,136,56,4,1,75,1247.0,427.0,306.71667,280.35556,266.94333,261.58958,260.18833,256.66,238.83278,5.13677,3.79683,3.70076,3.65057,3.39701,
c828a3d4-eadc-4b35-967e-69bc40b42aaa,37,M,47,46,0,0,1,2573.0,881.33333,352.975,334.99444,310.02,295.13125,290.9,267.91583,239.73444,5.92356,3.96679,3.72214,3.42805,3.06746,
4af76642-ca6e-43be-b5f8-5c6519be00a9,31,M,488,487,0,0,1,1478.0,1145.2,531.55,489.83333,439.71333,415.75521,405.38583,388.21708,353.97,9.19444,6.09316,5.5305,5.29628,4.87951,
8a57eaa5-2776-42a9-9498-3ede1b0d6eb7,30,M,57,29,1,10,17,1109.0,936.4,399.5,394.86667,383.71667,374.42083,371.42833,345.6325,303.42056,6.97244,5.11622,4.95238,4.60843,4.04561,
edfce33f-f766-4c4a-994d-b4448bc2fe5a,47,M,625,457,67,34,67,1108.0,743.53333,376.78333,342.65,324.94667,316.49792,314.21667,296.46,265.75722,8.02302,5.15788,4.98757,4.70571,4.21837,
